Time (s),Fluorescence Intensity (a.u.),Frequency (KHz)
0.0013287067413330078,2.6256905864197533,2800400
0.3676156997680664,2.625920138888889,2800500
0.5497386455535889,2.62616512345679,2800600
0.7190854549407959,2.6262795781893002,2800700
0.8840303421020508,2.6279070216049383,2800800
1.0499722957611084,2.6263708847736624,2800900
1.2126672267913818,2.628650977366255,2801000
1.3816862106323242,2.6266351594650206,2801100
1.5491178035736084,2.62833783436214,2801200
1.7145936489105225,2.6284452160493825,2801300
1.8786659240722656,2.628435570987654,2801400
2.046011209487915,2.6270126028806584,2801500
2.2127416133880615,2.62811149691358,2801600
2.3782002925872803,2.629375,2801700
2.5495333671569824,2.62799704218107,2801800
2.7135026454925537,2.6273926183127574,2801900
2.8822665214538574,2.630149819958848,2802000
3.048092842102051,2.62863683127572,2802100
3.193582057952881,2.6280889917695474,2802200
3.3943939208984375,2.6282259516460904,2802300
3.5853512287139893,2.6282857510288067,2802400
3.813948392868042,2.6282484567901236,2802500
4.03324031829834,2.628150720164609,2802600
4.275127410888672,2.6291030092592593,2802700
4.474794149398804,2.627440200617284,2802800
4.687637090682983,2.628061985596708,2802900
4.908928394317627,2.6267779063786008,2803000
5.12982177734375,2.6268885030864197,2803100
5.351034641265869,2.6276684670781894,2803200
5.572309970855713,2.6282015174897118,2803300
5.796337604522705,2.6272427983539095,2803400
6.018984317779541,2.6286490483539096,2803500
6.2400689125061035,2.626318158436214,2803600
6.463652610778809,2.627084619341564,2803700
6.688072681427002,2.627795781893004,2803800
6.908973932266235,2.6293602109053498,2803900
7.131845712661743,2.629567901234568,2804000
7.352203607559204,2.6262127057613167,2804100
7.573557376861572,2.627564300411523,2804200
7.796911716461182,2.6281063528806583,2804300
8.017680883407593,2.628048482510288,2804400
8.240632772445679,2.6294450874485595,2804500
8.461469411849976,2.628553883744856,2804600
8.68330192565918,2.626304012345679,2804700
8.905078172683716,2.6243621399176953,2804800
9.129114151000977,2.6272743055555554,2804900
9.349717855453491,2.6257883230452674,2805000
9.572879314422607,2.6280394804526748,2805100
9.796300888061523,2.6263676697530864,2805200
10.01717734336853,2.6271322016460905,2805300
10.23897123336792,2.6254822530864197,2805400
10.462643384933472,2.626417181069959,2805500
10.683258533477783,2.6268846450617285,2805600
10.90606689453125,2.6264930555555557,2805700
11.151622295379639,2.628020190329218,2805800
11.3503999710083,2.62826646090535,2805900
11.582294225692749,2.62792566872428,2806000
11.825509786605835,2.6297427983539094,2806100
12.018634796142578,2.6284600051440328,2806200
12.240590810775757,2.6273939043209875,2806300
12.4631507396698,2.6282137345679013,2806400
12.683405637741089,2.6256802983539096,2806500
12.908397912979126,2.626005658436214,2806600
13.128130435943604,2.6250115740740743,2806700
13.350888013839722,2.625388374485597,2806800
13.572682857513428,2.6254822530864197,2806900
13.796476364135742,2.6261259002057615,2807000
14.017606735229492,2.625769675925926,2807100
14.240748167037964,2.6272620884773663,2807200
14.462786197662354,2.6270756172839507,2807300
14.685492753982544,2.627803497942387,2807400
14.90981674194336,2.6287512860082303,2807500
15.130340576171875,2.627110339506173,2807600
15.351288795471191,2.626956661522634,2807700
15.573588132858276,2.6278433641975307,2807800
15.79637098312378,2.627949459876543,2807900
16.0178861618042,2.628207947530864,2808000
16.24063730239868,2.6238888888888887,2808100
16.46408724784851,2.627199074074074,2808200
16.684675455093384,2.627136059670782,2808300
16.910016775131226,2.6276491769547325,2808400
17.130915641784668,2.62636316872428,2808500
17.35091233253479,2.626928369341564,2808600
17.572829484939575,2.629458590534979,2808700
17.797454118728638,2.625905349794239,2808800
18.03485107421875,2.6265380658436213,2808900
18.241867303848267,2.6259863683127573,2809000
18.46253991127014,2.6249363425925925,2809100
18.68325662612915,2.6268524948559673,2809200
18.905069828033447,2.626664094650206,2809300
19.128548622131348,2.6274099794238683,2809400
19.349977493286133,2.6279076646090536,2809500
19.57618260383606,2.626766975308642,2809600
19.826139450073242,2.6275443672839507,2809700
20.021023750305176,2.6266525205761315,2809800
20.23905086517334,2.627804783950617,2809900
20.464240550994873,2.6273225308641974,2810000
20.682801246643066,2.6281770833333336,2810100
20.90593457221985,2.6259297839506175,2810200
21.12925362586975,2.6278060699588477,2810300
21.351938724517822,2.6282375257201647,2810400
21.57078742980957,2.626704603909465,2810500
21.794576168060303,2.6294161522633743,2810600
22.01637864112854,2.6250411522633743,2810700
22.240087270736694,2.628856095679012,2810800
22.462181329727173,2.628741640946502,2810900
22.68384099006653,2.6276311728395063,2811000
22.90891933441162,2.629945987654321,2811100
23.12652277946472,2.6281745113168724,2811200
23.34960126876831,2.628045267489712,2811300
23.570754051208496,2.6279648919753087,2811400
23.793609619140625,2.62957433127572,2811500
24.01778268814087,2.627559799382716,2811600
24.237672328948975,2.6288818158436214,2811700
24.459664583206177,2.627886445473251,2811800
24.683450937271118,2.6280664866255146,2811900
24.904886960983276,2.6284278549382716,2812000
25.127541065216064,2.6278028549382717,2812100
25.36609435081482,2.6290927211934156,2812200
25.57086968421936,2.6283654835390946,2812300
25.793994665145874,2.6277430555555554,2812400
26.01725935935974,2.628645833333333,2812500
26.238221168518066,2.627621527777778,2812600
26.459779739379883,2.6269412294238683,2812700
26.685940265655518,2.6275488683127572,2812800
26.903625011444092,2.629343492798354,2812900
27.126118898391724,2.627584233539095,2813000
27.350101232528687,2.6281693672839506,2813100
27.570223569869995,2.627908307613169,2813200
27.80319881439209,2.6270749742798354,2813300
28.033384323120117,2.627235725308642,2813400
28.240867137908936,2.6277147633744855,2813500
28.462233781814575,2.6275385802469136,2813600
28.684881925582886,2.6279912551440328,2813700
28.908148527145386,2.6282034465020576,2813800
29.127826929092407,2.6282484567901236,2813900
29.351386785507202,2.6296129115226337,2814000
29.571932315826416,2.6272202932098767,2814100
29.792821645736694,2.6276318158436216,2814200
30.016398429870605,2.629300411522634,2814300
30.237595319747925,2.6296379886831276,2814400
30.459399938583374,2.6293370627572017,2814500
30.684580326080322,2.62930362654321,2814600
30.903839826583862,2.6285043724279835,2814700
31.127652406692505,2.6288792438271606,2814800
31.351670265197754,2.6280066872427983,2814900
31.573291778564453,2.628951903292181,2815000
31.792752027511597,2.627767489711934,2815100
32.015920639038086,2.6291685956790123,2815200
32.2361786365509,2.6271206275720163,2815300
32.460713624954224,2.627831790123457,2815400
32.683377742767334,2.6264962705761317,2815500
32.90278124809265,2.6272312242798352,2815600
33.126543045043945,2.6275405092592594,2815700
33.34906840324402,2.62627829218107,2815800
33.56985521316528,2.6276948302469134,2815900
33.79251027107239,2.6281655092592593,2816000
34.0157036781311,2.6281912294238685,2816100
34.23716473579407,2.6295447530864196,2816200
34.46069550514221,2.6286001800411523,2816300
34.682374000549316,2.629778163580247,2816400
34.903708934783936,2.6289107510288066,2816500
35.126190185546875,2.6278337191358023,2816600
35.348610162734985,2.628903034979424,2816700
35.57032132148743,2.6273025977366253,2816800
35.79231572151184,2.6285358796296294,2816900
36.01450490951538,2.628843878600823,2817000
36.23621320724487,2.627923739711934,2817100
36.46072006225586,2.6289036779835393,2817200
36.68028950691223,2.628741640946502,2817300
36.90265727043152,2.627886445473251,2817400
37.124717235565186,2.626691100823045,2817500
37.36430478096008,2.6293897890946503,2817600
37.568859815597534,2.62754308127572,2817700
37.78966522216797,2.6279533179012344,2817800
38.013200759887695,2.628412422839506,2817900
38.236140966415405,2.6277655606995887,2818000
38.45830416679382,2.627303883744856,2818100
38.680715560913086,2.628726851851852,2818200
38.90207052230835,2.62811149691358,2818300
39.12432837486267,2.626250643004115,2818400
39.34668827056885,2.628519804526749,2818500
39.56889367103577,2.628676054526749,2818600
39.790878772735596,2.628566100823045,2818700
40.01359558105469,2.6280234053497944,2818800
40.234992027282715,2.6281237139917697,2818900
40.45731830596924,2.6275861625514403,2819000
40.68073272705078,2.6294129372427983,2819100
40.90381717681885,2.62778420781893,2819200
41.14214539527893,2.630207690329218,2819300
41.347368240356445,2.627453703703704,2819400
41.5697762966156,2.626105324074074,2819500
41.791725873947144,2.6274498456790125,2819600
42.01390624046326,2.628938400205761,2819700
42.23556447029114,2.62876350308642,2819800
42.4579873085022,2.626773405349794,2819900
42.68060851097107,2.6270646862139917,2820000
42.90254306793213,2.6257227366255145,2820100
43.12492489814758,2.627761059670782,2820200
43.34736442565918,2.6261213991769545,2820300
43.569623708724976,2.629130658436214,2820400
43.79446744918823,2.628326903292181,2820500
44.054914712905884,2.629458590534979,2820600
44.26018190383911,2.6283513374485596,2820700
44.45960807800293,2.629211033950617,2820800
44.69506072998047,2.6279308127572016,2820900
44.903016328811646,2.6289930555555556,2821000
45.14159297943115,2.6277327674897117,2821100
45.34558916091919,2.628105066872428,2821200
45.56523513793945,2.6261439043209878,2821300
45.7876296043396,2.62636316872428,2821400
46.00972127914429,2.629038065843621,2821500
46.23410415649414,2.6280176183127573,2821600
46.453388690948486,2.628505015432099,2821700
46.67694973945618,2.6284792952674896,2821800
46.90035438537598,2.6276967592592593,2821900
47.12085700035095,2.6281204989711933,2822000
47.34358215332031,2.628661908436214,2822100
47.566941261291504,2.6280832047325102,2822200
47.78759813308716,2.627680041152263,2822300
48.009567737579346,2.6284008487654322,2822400
48.23274302482605,2.628377700617284,2822500
48.45374369621277,2.6284953703703704,2822600
48.675276041030884,2.625527906378601,2822700
48.898685932159424,2.628760288065844,2822800
49.139318227767944,2.6282690329218106,2822900
49.343607664108276,2.6285442386831277,2823000
49.56554388999939,2.6278555812757203,2823100
49.786728382110596,2.6279481738683126,2823200
50.008728981018066,2.6292026748971193,2823300
50.23230457305908,2.630971579218107,2823400
50.45332670211792,2.627235082304527,2823500
50.67598223686218,2.6268775720164608,2823600
50.89863681793213,2.631422968106996,2823700
51.11900067329407,2.629429012345679,2823800
51.341575622558594,2.628815586419753,2823900
51.56718349456787,2.629539609053498,2824000
51.78764533996582,2.6281127829218107,2824100
52.036311864852905,2.6282349537037035,2824200
52.24880504608154,2.6294502314814814,2824300
52.4575674533844,2.6274164094650208,2824400
52.67653775215149,2.6283416923868312,2824500
52.91337990760803,2.629321630658436,2824600
53.120330572128296,2.6301240997942386,2824700
53.34320139884949,2.6303131430041153,2824800
53.56541967391968,2.6288567386831274,2824900
53.78915238380432,2.629922196502058,2825000
54.00942397117615,2.6287622170781892,2825100
54.2323534488678,2.627238297325103,2825200
54.45261073112488,2.629161522633745,2825300
54.67750644683838,2.626960519547325,2825400
54.903918743133545,2.6280298353909464,2825500
55.125357151031494,2.628976980452675,2825600
55.34245204925537,2.6290554269547326,2825700
55.567590951919556,2.629440586419753,2825800
55.7881224155426,2.6297093621399177,2825900
56.01154971122742,2.6309066358024693,2826000
56.234071016311646,2.6285718878600823,2826100
56.456955909729004,2.6288914609053498,2826200
56.697131633758545,2.629454732510288,2826300
56.89958691596985,2.6306127829218107,2826400
57.120254039764404,2.628396990740741,2826500
57.348881006240845,2.6298443930041153,2826600
57.564109325408936,2.628920396090535,2826700
57.787195920944214,2.629881044238683,2826800
58.01141119003296,2.6303703703703705,2826900
58.23087501525879,2.628879886831276,2827000
58.45369529724121,2.628587962962963,2827100
58.678152084350586,2.628378343621399,2827200
58.899482011795044,2.6274099794238683,2827300
59.121055126190186,2.629670781893004,2827400
59.348817110061646,2.629184027777778,2827500
59.56687331199646,2.6300012860082305,2827600
59.78788352012634,2.627256301440329,2827700
60.00898480415344,2.6275835905349796,2827800
60.23186492919922,2.6285706018518518,2827900
60.473684549331665,2.627263374485597,2828000
60.676581621170044,2.627906378600823,2828100
60.89884114265442,2.6284220679012344,2828200
61.12019991874695,2.629071502057613,2828300
61.342448234558105,2.6284008487654322,2828400
61.565589427948,2.626767618312757,2828500
61.788195848464966,2.6297376543209876,2828600
62.00898241996765,2.628562885802469,2828700
62.2323694229126,2.6281577932098767,2828800
62.45815467834473,2.6269618055555557,2828900
62.68481111526489,2.629008487654321,2829000
62.94859504699707,2.62917566872428,2829100
63.1950957775116,2.6292065329218106,2829200
63.40239143371582,2.628457433127572,2829300
63.62142014503479,2.6287911522633745,2829400
63.84267234802246,2.628979552469136,2829500
64.06840062141418,2.6290425668724278,2829600
64.28567576408386,2.6272344393004117,2829700
64.50635075569153,2.6284921553497944,2829800
64.73005414009094,2.6291319444444445,2829900
64.95330023765564,2.62990033436214,2830000
65.17467975616455,2.629448302469136,2830100
65.39671659469604,2.6299845679012344,2830200
65.62124061584473,2.629528677983539,2830300
65.84088253974915,2.6284503600823044,2830400
66.06255340576172,2.6272826646090537,2830500
66.28670239448547,2.626844135802469,2830600
66.5073070526123,2.6292997685185187,2830700
66.7312240600586,2.6272794495884773,2830800
66.95368075370789,2.629196887860082,2830900
67.17345118522644,2.6286490483539096,2831000
67.39652585983276,2.628335262345679,2831100
67.61974000930786,2.627483924897119,2831200
67.85722708702087,2.6290805041152265,2831300
68.06223177909851,2.6301826131687243,2831400
68.28577756881714,2.6309085648148147,2831500
68.50680637359619,2.6300501543209878,2831600
68.7300591468811,2.6303311471193416,2831700
68.9529242515564,2.6296887860082303,2831800
69.17298316955566,2.6297254372427985,2831900
69.39558744430542,2.6280105452674896,2832000
69.61895227432251,2.627439557613169,2832100
69.83905696868896,2.6286599794238685,2832200
70.06248188018799,2.629191100823045,2832300
70.28558397293091,2.630244341563786,2832400
70.50575757026672,2.631190843621399,2832500
70.7288761138916,2.6312847222222224,2832600
70.95450592041016,2.6284561471193415,2832700
71.17329430580139,2.6285918209876544,2832800
71.39548349380493,2.630308641975309,2832900
71.6187105178833,2.6276382458847736,2833000
71.84148931503296,2.6287172067901237,2833100
72.06175565719604,2.629758230452675,2833200
72.28835654258728,2.628059413580247,2833300
72.51187801361084,2.6293338477366257,2833400
72.73294234275818,2.630198688271605,2833500
72.96586275100708,2.628890174897119,2833600
73.17647576332092,2.6292689043209876,2833700
73.40421271324158,2.629767232510288,2833800
73.62062954902649,2.6288078703703706,2833900
73.83945512771606,2.631215920781893,2834000
74.06166076660156,2.628477366255144,2834100
74.2853262424469,2.6294701646090535,2834200
74.50634622573853,2.6294791666666666,2834300
74.7286605834961,2.6300887345679014,2834400
74.95054340362549,2.630321502057613,2834500
75.18994569778442,2.628860596707819,2834600
75.39466834068298,2.6296264146090533,2834700
75.61896920204163,2.6276896862139916,2834800
75.83911776542664,2.630800540123457,2834900
76.06156349182129,2.628193158436214,2835000
76.28346300125122,2.627573945473251,2835100
76.50589418411255,2.6279661779835393,2835200
76.72810006141663,2.6300462962962965,2835300
76.95084309577942,2.629070859053498,2835400
77.17215394973755,2.62987204218107,2835500
77.3944365978241,2.626770190329218,2835600
77.62354516983032,2.6296965020576133,2835700
77.83833503723145,2.6290316358024692,2835800
78.06111073493958,2.6286342592592593,2835900
78.28385353088379,2.630917566872428,2836000
78.50449728965759,2.629675925925926,2836100
78.7277934551239,2.629675925925926,2836200
78.95003271102905,2.628814943415638,2836300
79.18817234039307,2.6294277263374486,2836400
79.39336729049683,2.628528163580247,2836500
79.61647915840149,2.629537037037037,2836600
79.83930468559265,2.630574202674897,2836700
80.06075382232666,2.629312628600823,2836800
80.28225064277649,2.6318942901234568,2836900
80.5056312084198,2.6303382201646093,2837000
80.72769594192505,2.628638760288066,2837100
80.95030999183655,2.6303433641975307,2837200
81.17158842086792,2.6290425668724278,2837300
81.3941798210144,2.6296823559670783,2837400
81.61590814590454,2.629273405349794,2837500
81.83774757385254,2.629567901234568,2837600
82.05976343154907,2.6307960390946503,2837700
82.28292989730835,2.6279648919753087,2837800
82.50433111190796,2.628889531893004,2837900
82.7272047996521,2.6305864197530866,2838000
82.96721506118774,2.6262590020576133,2838100
83.17152905464172,2.6277404835390947,2838200
83.39409136772156,2.631016589506173,2838300
83.61645174026489,2.6280266203703704,2838400
83.83809971809387,2.627846579218107,2838500
84.06055188179016,2.6300070730452676,2838600
84.28544211387634,2.6278452932098766,2838700
84.50409984588623,2.6307060185185187,2838800
84.72901725769043,2.629931198559671,2838900
84.95370936393738,2.6285789609053496,2839000
85.17109394073486,2.630378086419753,2839100
85.39475178718567,2.6291859567901232,2839200
85.61656045913696,2.6281095679012347,2839300
85.83941984176636,2.629542824074074,2839400
86.06156778335571,2.6303292181069957,2839500
86.28377556800842,2.6287660751028805,2839600
86.51475191116333,2.6288200874485597,2839700
86.72660374641418,2.629886188271605,2839800
86.94919013977051,2.628776363168724,2839900
87.17139172554016,2.6281378600823047,2840000
87.39313244819641,2.629838605967078,2840100
87.61896800994873,2.6301922582304527,2840200
87.83856534957886,2.629661779835391,2840300
88.0607397556305,2.6286342592592593,2840400
88.28251075744629,2.630443672839506,2840500
88.50462293624878,2.6296206275720166,2840600
88.72747850418091,2.6300205761316873,2840700
88.95007824897766,2.6291936728395062,2840800
89.17133569717407,2.6298373199588476,2840900
89.39341807365417,2.6278819444444443,2841000
89.61585235595703,2.630525977366255,2841100
89.84156036376953,2.6287429269547324,2841200
90.05921578407288,2.6299922839506173,2841300
90.29788446426392,2.6303504372427984,2841400
90.5027596950531,2.628348765432099,2841500
90.72346353530884,2.6291030092592593,2841600
90.94707369804382,2.630064943415638,2841700
91.16870450973511,2.630963220164609,2841800
91.38993954658508,2.629401363168724,2841900
91.61341619491577,2.6292791923868313,2842000
91.83446669578552,2.62914866255144,2842100
92.05653858184814,2.62957433127572,2842200
92.27885842323303,2.6288226594650204,2842300
92.50223851203918,2.6285384516460906,2842400
92.7227349281311,2.629093364197531,2842500
92.95015335083008,2.630073945473251,2842600
93.1697564125061,2.6296006944444446,2842700
93.38874340057373,2.62866512345679,2842800
93.61186146736145,2.6286779835390948,2842900
93.85012793540955,2.629414866255144,2843000
94.05627989768982,2.6290207047325103,2843100
94.27801299095154,2.629957561728395,2843200
94.50009632110596,2.6280144032921813,2843300
94.72278499603271,2.6285268775720163,2843400
94.94572257995605,2.6306860853909466,2843500
95.16638016700745,2.6283963477366257,2843600
95.38963723182678,2.6297749485596706,2843700
95.61159300804138,2.6292746913580247,2843800
95.83427047729492,2.629463734567901,2843900
96.05516028404236,2.629707433127572,2844000
96.27688074111938,2.6293737139917694,2844100
96.50026392936707,2.6294810956790124,2844200
96.7234034538269,2.6295498971193414,2844300
96.94419574737549,2.630625643004115,2844400
97.16645646095276,2.6282118055555554,2844500
97.4010603427887,2.632642103909465,2844600
97.60655450820923,2.628511445473251,2844700
97.83252692222595,2.6300462962962965,2844800
98.05275511741638,2.6285551697530862,2844900
98.27310538291931,2.630189686213992,2845000
98.4967749118805,2.6298784722222224,2845100
98.72221779823303,2.6316120113168724,2845200
98.93985438346863,2.6312184927983537,2845300
99.16310405731201,2.6287364969135805,2845400
99.38798475265503,2.6287609310699587,2845500
99.60696983337402,2.6299196244855967,2845600
